# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
4.13757e+02	3.22393e+02
4.14457e+02	3.19483e+02
4.15158e+02	3.16612e+02
4.15858e+02	3.13779e+02
4.16558e+02	3.10985e+02
4.17259e+02	3.08228e+02
4.17959e+02	3.05507e+02
4.18659e+02	3.02823e+02
4.19360e+02	3.00173e+02
4.20060e+02	2.97559e+02
4.20760e+02	2.94978e+02
4.21461e+02	2.92431e+02
4.22161e+02	2.89917e+02
4.22861e+02	2.87436e+02
4.23562e+02	2.84986e+02
4.24262e+02	2.82567e+02
4.24962e+02	2.80179e+02
4.25663e+02	2.77822e+02
4.26363e+02	2.75494e+02
4.27064e+02	2.73195e+02
4.27764e+02	2.70925e+02
4.28464e+02	2.68683e+02
4.29165e+02	2.66469e+02
4.29865e+02	2.64282e+02
4.30565e+02	2.62122e+02
4.31266e+02	2.59989e+02
4.31966e+02	2.57881e+02
4.32666e+02	2.55799e+02
4.33367e+02	2.53743e+02
4.34067e+02	2.51711e+02
4.34767e+02	2.49703e+02
4.35468e+02	2.47719e+02
4.36168e+02	2.45759e+02
4.36868e+02	2.43822e+02
4.37569e+02	2.41908e+02
4.38269e+02	2.40017e+02
4.38969e+02	2.38148e+02
4.39670e+02	2.36300e+02
4.40370e+02	2.34474e+02
4.41071e+02	2.32669e+02
4.41771e+02	2.30885e+02
4.42471e+02	2.29121e+02
4.43172e+02	2.27378e+02
4.43872e+02	2.25654e+02
4.44572e+02	2.23950e+02
4.45273e+02	2.22265e+02
4.45973e+02	2.20599e+02
4.46673e+02	2.18952e+02
4.47374e+02	2.17323e+02
4.48074e+02	2.15713e+02
4.48774e+02	2.14120e+02
4.49475e+02	2.12545e+02
4.50175e+02	2.10987e+02
4.50875e+02	2.09446e+02
4.51576e+02	2.07922e+02
4.52276e+02	2.06415e+02
4.52976e+02	2.04924e+02
4.53677e+02	2.03449e+02
4.54377e+02	2.01991e+02
4.55078e+02	2.00547e+02
4.55778e+02	1.99119e+02
4.56478e+02	1.97707e+02
4.57179e+02	1.96309e+02
4.57879e+02	1.94927e+02
4.58579e+02	1.93558e+02
4.59280e+02	1.92205e+02
4.59980e+02	1.90865e+02
4.60680e+02	1.89539e+02
4.61381e+02	1.88227e+02
4.62081e+02	1.86929e+02
4.62781e+02	1.85644e+02
4.63482e+02	1.84372e+02
4.64182e+02	1.83114e+02
4.64882e+02	1.81868e+02
4.65583e+02	1.80635e+02
4.66283e+02	1.79414e+02
4.66983e+02	1.78206e+02
4.67684e+02	1.77010e+02
4.68384e+02	1.75826e+02
4.69085e+02	1.74654e+02
4.69785e+02	1.73494e+02
4.70485e+02	1.72345e+02
4.71186e+02	1.71207e+02
4.71886e+02	1.70081e+02
4.72586e+02	1.68966e+02
4.73287e+02	1.67861e+02
4.73987e+02	1.66768e+02
4.74687e+02	1.65685e+02
4.75388e+02	1.64613e+02
4.76088e+02	1.63551e+02
4.76788e+02	1.62500e+02
4.77489e+02	1.61458e+02
4.78189e+02	1.60427e+02
4.78889e+02	1.59405e+02
4.79590e+02	1.58393e+02
4.80290e+02	1.57391e+02
4.80990e+02	1.56398e+02
4.81691e+02	1.55415e+02
4.82391e+02	1.54440e+02
4.83092e+02	1.53475e+02
4.83792e+02	1.52519e+02
4.84492e+02	1.51572e+02
4.85193e+02	1.50634e+02
4.85893e+02	1.49705e+02
4.86593e+02	1.48784e+02
4.87294e+02	1.47871e+02
4.87994e+02	1.46967e+02
4.88694e+02	1.46071e+02
4.89395e+02	1.45184e+02
4.90095e+02	1.44304e+02
4.90795e+02	1.43432e+02
4.91496e+02	1.42569e+02
4.92196e+02	1.41713e+02
4.92896e+02	1.40865e+02
4.93597e+02	1.40024e+02
4.94297e+02	1.39191e+02
4.94997e+02	1.38365e+02
4.95698e+02	1.37547e+02
4.96398e+02	1.36736e+02
4.97099e+02	1.35932e+02
4.97799e+02	1.35135e+02
4.98499e+02	1.34345e+02
4.99200e+02	1.33562e+02
4.99900e+02	1.32786e+02
5.00600e+02	1.32016e+02
5.01301e+02	1.31254e+02
5.02001e+02	1.30497e+02
5.02701e+02	1.29748e+02
5.03402e+02	1.29005e+02
5.04102e+02	1.28268e+02
5.04802e+02	1.27537e+02
5.05503e+02	1.26813e+02
5.06203e+02	1.26095e+02
5.06903e+02	1.25383e+02
5.07604e+02	1.24677e+02
5.08304e+02	1.23977e+02
5.09005e+02	1.23283e+02
5.09705e+02	1.22595e+02
5.10405e+02	1.21912e+02
5.11106e+02	1.21235e+02
5.11806e+02	1.20564e+02
5.12506e+02	1.19898e+02
5.13207e+02	1.19238e+02
5.13907e+02	1.18583e+02
5.14607e+02	1.17934e+02
5.15308e+02	1.17290e+02
5.16008e+02	1.16651e+02
5.16708e+02	1.16018e+02
5.17409e+02	1.15389e+02
5.18109e+02	1.14766e+02
5.18809e+02	1.14148e+02
5.19510e+02	1.13534e+02
5.20210e+02	1.12926e+02
5.20910e+02	1.12323e+02
5.21611e+02	1.11724e+02
5.22311e+02	1.11130e+02
5.23012e+02	1.10541e+02
5.23712e+02	1.09956e+02
5.24412e+02	1.09377e+02
5.25113e+02	1.08801e+02
5.25813e+02	1.08231e+02
5.26513e+02	1.07664e+02
5.27214e+02	1.07103e+02
5.27914e+02	1.06545e+02
5.28614e+02	1.05992e+02
5.29315e+02	1.05443e+02
5.30015e+02	1.04899e+02
5.30715e+02	1.04358e+02
5.31416e+02	1.03822e+02
5.32116e+02	1.03290e+02
5.32816e+02	1.02762e+02
5.33517e+02	1.02238e+02
5.34217e+02	1.01719e+02
5.34917e+02	1.01203e+02
5.35618e+02	1.00691e+02
5.36318e+02	1.00182e+02
5.37019e+02	9.96782e+01
5.37719e+02	9.91777e+01
5.38419e+02	9.86810e+01
5.39120e+02	9.81880e+01
5.39820e+02	9.76986e+01
5.40520e+02	9.72130e+01
5.41221e+02	9.67309e+01
5.41921e+02	9.62524e+01
5.42621e+02	9.57775e+01
5.43322e+02	9.53061e+01
5.44022e+02	9.48381e+01
5.44722e+02	9.43736e+01
5.45423e+02	9.39125e+01
5.46123e+02	9.34548e+01
5.46823e+02	9.30004e+01
5.47524e+02	9.25493e+01
5.48224e+02	9.21015e+01
5.48924e+02	9.16570e+01
5.49625e+02	9.12157e+01
5.50325e+02	9.07775e+01
