# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
4.13057e+02	3.45839e+02
4.13757e+02	3.42675e+02
4.14457e+02	3.39554e+02
4.15158e+02	3.36476e+02
4.15858e+02	3.33439e+02
4.16558e+02	3.30444e+02
4.17259e+02	3.27489e+02
4.17959e+02	3.24573e+02
4.18659e+02	3.21696e+02
4.19360e+02	3.18858e+02
4.20060e+02	3.16057e+02
4.20760e+02	3.13293e+02
4.21461e+02	3.10565e+02
4.22161e+02	3.07872e+02
4.22861e+02	3.05215e+02
4.23562e+02	3.02592e+02
4.24262e+02	3.00002e+02
4.24962e+02	2.97446e+02
4.25663e+02	2.94922e+02
4.26363e+02	2.92431e+02
4.27064e+02	2.89971e+02
4.27764e+02	2.87542e+02
4.28464e+02	2.85143e+02
4.29165e+02	2.82775e+02
4.29865e+02	2.80436e+02
4.30565e+02	2.78125e+02
4.31266e+02	2.75844e+02
4.31966e+02	2.73590e+02
4.32666e+02	2.71364e+02
4.33367e+02	2.69165e+02
4.34067e+02	2.66993e+02
4.34767e+02	2.64847e+02
4.35468e+02	2.62727e+02
4.36168e+02	2.60632e+02
4.36868e+02	2.58562e+02
4.37569e+02	2.56517e+02
4.38269e+02	2.54496e+02
4.38969e+02	2.52499e+02
4.39670e+02	2.50525e+02
4.40370e+02	2.48575e+02
4.41071e+02	2.46647e+02
4.41771e+02	2.44741e+02
4.42471e+02	2.42858e+02
4.43172e+02	2.40996e+02
4.43872e+02	2.39156e+02
4.44572e+02	2.37337e+02
4.45273e+02	2.35538e+02
4.45973e+02	2.33760e+02
4.46673e+02	2.32002e+02
4.47374e+02	2.30264e+02
4.48074e+02	2.28545e+02
4.48774e+02	2.26846e+02
4.49475e+02	2.25165e+02
4.50175e+02	2.23503e+02
4.50875e+02	2.21860e+02
4.51576e+02	2.20234e+02
4.52276e+02	2.18626e+02
4.52976e+02	2.17036e+02
4.53677e+02	2.15464e+02
4.54377e+02	2.13908e+02
4.55078e+02	2.12369e+02
4.55778e+02	2.10847e+02
4.56478e+02	2.09341e+02
4.57179e+02	2.07851e+02
4.57879e+02	2.06377e+02
4.58579e+02	2.04919e+02
4.59280e+02	2.03476e+02
4.59980e+02	2.02048e+02
4.60680e+02	2.00635e+02
4.61381e+02	1.99237e+02
4.62081e+02	1.97854e+02
4.62781e+02	1.96485e+02
4.63482e+02	1.95130e+02
4.64182e+02	1.93790e+02
4.64882e+02	1.92463e+02
4.65583e+02	1.91149e+02
